Estado,PROG,DECL_VAR,CONST,FUNCOES,FUNCAO,MAIN,TIPO,NUM,NUM_INT,NUM_FLOAT,CMDS,CMD,IF,WHILE,FOR,ATR,ATR_FOR,INC,CH_FUNC,EXPR_MAT,TESTE,EXPR_REL,OP_REL,OP_LOG,OP_ART,main,if,while,for,else,+,-,id,const,=,;,(,),{,},string,return,$
75,,,,,,,,,,,e94,e25,e26,e27,e28,e29,,e30,e31,,,,,,,,e32,e33,e34,,,,e35,,,,,,,r11,,r11,
76,,,,,,,,e89,e110,e111,,,,,,,,,,,,,,,,,,,,,,,e88,,,,,,,,,,
77,,,,,,,,e91,e110,e111,,,,,,,,,,,,,,,,,,,,,,,e90,,,,,,,,,,
78,,,,,,,,e51,e110,e111,,,,,,,,,,,e92,e49,,,,,,,,,,,e50,,,,,,,,,,
79,,,,,,,,,,,e95,e25,e26,e27,e28,e29,,e30,e31,,,,,,,,e32,e33,e34,,,,e35,,,,,,,r11,,r11,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e96,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r27,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r32,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r33,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r34,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r31,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,r16,r16,r16,,,,r16,,,,,,,r16,,r16,
87,,,,,,,,e51,e110,e111,,,,,,,,,,,e92,e49,,,,,,,,,,,e50,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,r37,,,,,,,,,,,,r37,,r37,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,r38,,,,,,,,,,,,r38,,r38,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,r39,,,,,,,,,,,,r39,,r39,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,r40,,,,,,,,,,,,r40,,r40,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r36,,r36,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e97,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e98,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e99,,,
96,,,,,,,,,,,,,,,,,,e100,,,,,,,,,,,,,,,e35,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e101,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,r18,r18,r18,e102,,,r18,,,,,,,r18,,r18,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,r20,r20,r20,,,,r20,,,,,,,r20,,r20,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e103,,,,,
101,,,,,,,r8,,,,,,,,,,,,,,,,,,,r8,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e104,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e105,,,,
104,,,,,,,,,,,e106,e25,e26,e27,e28,e29,,e30,e31,,,,,,,,e32,e33,e34,,,,e35,,,,,,,r11,,r11,
105,,,,,,,,,,,e107,e25,e26,e27,e28,e29,,e30,e31,,,,,,,,e32,e33,e34,,,,e35,,,,,,,r11,,r11,
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e108,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e109,,,
108,,,,,,,,,,,,,,,,,,,,,,,,,,,r19,r19,r19,,,,r19,,,,,,,r19,,r19,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,r21,r21,r21,,,,r21,,,,,,,r21,,r21,
110,,,,,,,,,,,,,,,,,,,,,,,r41,r41,r41,,,,,,,,,,,r41,,r41,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,r42,r42,r42,,,,,,,,,,,r42,,r42,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,,,r25,r25,r25,,,,r25,,,,,,,r25,,r25,
